UID,SUMMARY,START,END,SALLES
ADE6050726f6a65745f323032332d323032342d3130313737352d302d31,Toxi-infections alimentaires - CM - S2,20240313T070000Z,20240313T083000Z,S07
ADE6050726f6a65745f323032332d323032342d39363936392d302d32,Statistiques - TP - S4-A1,20240314T074500Z,20240314T091500Z,S11-TP info
ADE6050726f6a65745f323032332d323032342d39363630392d302d30,Contrôle de gestion,20240314T071500Z,20240314T111500Z,S03
ADE6050726f6a65745f323032332d323032342d33383836382d302d30,Anglais TD1,20240313T124500Z,20240313T144500Z,Labo Langues\ Multimédia
ADE6050726f6a65745f323032332d323032342d39373234342d302d30,Anglais - TP (1h) - S4-A2,20240314T083000Z,20240314T093000Z,S05
ADE6050726f6a65745f323032332d323032342d3130313332312d302d31,Physiologie du développement végétal - CM - S2,20240313T084500Z,20240313T101500Z,S07
ADE6050726f6a65745f323032332d323032342d35373138362d302d31,SAE 4.1 - TP - S4-A1,20240312T070000Z,20240312T110000Z,salle 1-mécaflu
ADE6050726f6a65745f323032332d323032342d32363433352d302d30,Anglais - TP - S2-C1,20240311T084500Z,20240311T101500Z,S07
ADE6050726f6a65745f323032332d323032342d3130323237312d302d38,Saé 2.02 TPB Autonomie,20240312T093000Z,20240312T113000Z,GT1.11
ADE6050726f6a65745f323032332d323032342d36323039372d302d36,SAé 4.01 Autonomie TPB,20240315T123000Z,20240315T143000Z,GT109a
ADE6050726f6a65745f323032332d323032342d3133373331342d302d30,Rattrapages Méth. numériques,20240315T144500Z,20240315T161500Z,IN0.09
ADE6050726f6a65745f323032332d323032342d38323432332d302d36,R4A11 Dev mobile (G2.2),20240311T124500Z,20240311T164500Z,IN1.09
ADE6050726f6a65745f323032332d323032342d3133363436362d302d30,R507 Intég. continue // SAÉ,20240312T073000Z,20240312T113000Z,IN1.06\ IN1.08
ADE6050726f6a65745f323032332d323032342d36393534372d302d33,Anglais - TD - S4-A,20240313T130000Z,20240313T143000Z,S05
ADE6050726f6a65745f323032332d323032342d37323234372d322d30,Expression/Communication - TP - S2-C2,20240311T084500Z,20240311T101500Z,S14-TP info
ADE6050726f6a65745f323032332d323032342d38373833342d302d30,R202 IHM (G2.2),20240312T124500Z,20240312T164500Z,IN1.07
ADE6050726f6a65745f323032332d323032342d3130313435372d302d30,Biotech,20240311T130000Z,20240311T150000Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d38323331302d302d33,R406 Comm interne (G1),20240311T144500Z,20240311T164500Z,IN2.02
ADE6050726f6a65745f323032332d323032342d37343738362d302d30,TP sérotypage - S2-C2,20240311T144500Z,20240311T164500Z,Microbio 1
ADE6050726f6a65745f323032332d323032342d39373931342d322d30,Biotechnologie - TP (PhD) - S4-B2,20240311T124500Z,20240311T144500Z,Halle-Génie ferm.
ADE6050726f6a65745f323032332d323032342d35393132332d302d3230,Atelier Écriture,20240314T120000Z,20240314T140000Z,GT0.07
ADE6050726f6a65745f323032332d323032342d3132303034372d352d30,Espagnol,20240315T070000Z,20240315T083000Z,EX-003
ADE6050726f6a65745f323032332d323032342d3132323936322d302d36,Communication,20240314T100000Z,20240314T113000Z,Multimédia
ADE6050726f6a65745f323032332d323032342d3132333032312d302d30,communication,20240311T123000Z,20240311T140000Z,EX-107
ADE6050726f6a65745f323032332d323032342d39373230392d302d32,Communication - TD - S4-A,20240313T103000Z,20240313T120000Z,S16-TD info
ADE6050726f6a65745f323032332d323032342d37323238312d302d30,Bois énergie TD1,20240312T124500Z,20240312T144500Z,GT0.07
ADE6050726f6a65745f323032332d323032342d38373333392d302d3130,R404 Meth. d'opt (G2),20240312T073000Z,20240312T093000Z,IN0.07
ADE6050726f6a65745f323032332d323032342d3133343337322d302d35,Anglais - TP - FI,20240312T130000Z,20240312T143000Z,S05
ADE6050726f6a65745f323032332d323032342d39353636392d302d30,ED 3 ChO,20240313T150000Z,20240313T170000Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d31353633302d332d30,SAé 4.02 Maint autonomie TPA,20240311T144500Z,20240311T164500Z,GT1.10
ADE6050726f6a65745f323032332d323032342d32373533352d332d30,Solaire PVsyst TD1,20240311T073000Z,20240311T093000Z,GT109a\ GT109b
ADE6050726f6a65745f323032332d323032342d39323036352d332d30,R208 Stat. descriptives (G3),20240315T073000Z,20240315T093000Z,IN0.07
ADE6050726f6a65745f323032332d323032342d3130323237322d302d33,Saé 2.02 TPC Autonomie,20240313T073000Z,20240313T093000Z,GT109b
ADE6050726f6a65745f323032332d323032342d3132333031392d302d30,communication,20240311T140000Z,20240311T153000Z,Multimédia
ADE6050726f6a65745f323032332d323032342d31313732342d302d30,QR ChO,20240315T071500Z,20240315T091500Z,Amphithéâtre Le Bugey
ADE6050726f6a65745f323032332d323032342d32383630332d302d30,Microbiologie Industrielle (Oraux),20240312T071500Z,20240312T111500Z,S07
ADE6050726f6a65745f323032332d323032342d35303437352d312d30,Droit du travail,20240315T140000Z,20240315T153000Z,EX-003
ADE6050726f6a65745f323032332d323032342d3133373337362d302d30,Rattrapage DS Véronique,20240311T143000Z,20240311T163000Z,Salle de réunion
ADE6050726f6a65745f323032332d323032342d39333233372d302d35,R213 Comm (G3),20240313T144500Z,20240313T164500Z,IN0.09
ADE6050726f6a65745f323032332d323032342d38373738392d302d30,R202 IHM (G3.1),20240313T073000Z,20240313T113000Z,IN1.08
ADE6050726f6a65745f323032332d323032342d32303533392d342d30,Portfolio - Autonomie - S6-FI,20240312T083000Z,20240312T093000Z,S14-TP info
ADE6050726f6a65745f323032332d323032342d33333033342d302d37,Rh,20240315T100000Z,20240315T113000Z,EX-002
ADE6050726f6a65745f323032332d323032342d32373533372d332d30,Solaire PVsyst TD2,20240314T073000Z,20240314T093000Z,GT2.11\ [?]
